ten_y | Coefficient std t p_stat lower_95 upper_95q75                    |
                ttrend |   .0018568   .0013415     1.38   0.166    -.0007725    .0044862
                       |
        sexo1#c.ttrend |
                    1  |   .0308957   .0015878    19.46   0.000     .0277836    .0340078
                       |
                 urate |  -.0039703   .0076252    -0.52   0.603    -.0189156    .0109749
                       |
              occgroup |
                    2  |   2.313251   .1989237    11.63   0.000     1.923366    2.703135
                    3  |    4.63782   .2198286    21.10   0.000     4.206963    5.068678
                    4  |  -1.161381   .1816287    -6.39   0.000    -1.517368   -.8053946
                    5  |  -3.974489   .3711881   -10.71   0.000    -4.702007   -3.246972
                       |
      occgroup#c.urate |
                    2  |  -.0590966   .0102111    -5.79   0.000    -.0791101   -.0390832
                    3  |  -.1452328   .0124151   -11.70   0.000    -.1695661   -.1208995
                    4  |   .0715867   .0107258     6.67   0.000     .0505646    .0926089
                    5  |   .0337054   .0152917     2.20   0.028     .0037341    .0636767
                       |
        sexo1#occgroup |
                  1 1  |   .6358082   .1875427     3.39   0.001     .2682301    1.003386
                  1 2  |  -1.195512   .2051607    -5.83   0.000    -1.597621   -.7934034
                  1 3  |   -6.93708   .2241272   -30.95   0.000    -7.376362   -6.497797
                  1 4  |  -1.813492   .4432085    -4.09   0.000    -2.682167   -.9448169
                  1 5  |  -2.245797   .3440018    -6.53   0.000     -2.92003   -1.571564
                       |
sexo1#occgroup#c.urate |
                  1 1  |  -.0637935   .0086746    -7.35   0.000    -.0807955   -.0467914
                  1 2  |  -.0230919   .0099208    -2.33   0.020    -.0425363   -.0036474
                  1 3  |   .1816606   .0117351    15.48   0.000     .1586602     .204661
                  1 4  |   .0305806   .0209232     1.46   0.144    -.0104283    .0715895
                  1 5  |    .010841   .0135607     0.80   0.424    -.0157377    .0374196
                       |
        covid#occgroup |
                  1 1  |   -.082543   .3051614    -0.27   0.787      -.68065    .5155641
                  1 2  |   .3738337   .2041844     1.83   0.067    -.0263615     .774029
                  1 3  |  -.3760957   .2477829    -1.52   0.129    -.8617427    .1095513
                  1 4  |    1.17018   .2271893     5.15   0.000     .7248956    1.615464
                  1 5  |  -1.539821   .4796928    -3.21   0.001    -2.480004   -.5996372
                  2 1  |  -.0165752    .287802    -0.06   0.954    -.5806584    .5475081
                  2 2  |   1.787769   .3071601     5.82   0.000     1.185744    2.389793
                  2 3  |  -.4679587   .2194654    -2.13   0.033    -.8981042   -.0378132
                  2 4  |   .9403162   .2542841     3.70   0.000     .4419271    1.438705
                  2 5  |   .1847855   .5759398     0.32   0.748    -.9440392     1.31361
                  3 1  |   .0662245   .3813839     0.17   0.862    -.6812764    .8137254
                  3 2  |   .4233728    .456671     0.93   0.354    -.4716886    1.318434
                  3 3  |  -.9567077   .3919004    -2.44   0.015    -1.724821   -.1885948
                  3 4  |  -.0007464   .3069204    -0.00   0.998     -.602301    .6008082
                  3 5  |     .24674   .5822499     0.42   0.672    -.8944523    1.387932
                       |
  covid#sexo1#occgroup |
                1 1 1  |  -.2623264   .4330524    -0.61   0.545    -1.111096    .5864433
                1 1 2  |  -.4853548    .375426    -1.29   0.196    -1.221178    .2504688
                1 1 3  |   1.756034   .2585547     6.79   0.000     1.249275    2.262793
                1 1 4  |   .7952679   .5027759     1.58   0.114    -.1901577    1.780694
                1 1 5  |   1.096967   .6699962     1.64   0.102    -.2162058    2.410139
                2 1 1  |  -.4096107   .3501679    -1.17   0.242    -1.095929    .2767076
                2 1 2  |  -2.257231   .3923683    -5.75   0.000    -3.026261   -1.488201
                2 1 3  |   .6115953   .5181816     1.18   0.238    -.4040248    1.627215
                2 1 4  |  -1.247593   .9497127    -1.31   0.189    -3.109001    .6138152
                2 1 5  |  -1.578994   .6613434    -2.39   0.017    -2.875208   -.2827813
                3 1 1  |  -1.312272   .4349639    -3.02   0.003    -2.164788   -.4597559
                3 1 2  |  -1.184675   .4936157    -2.40   0.016    -2.152147   -.2172031
                3 1 3  |   1.312969   .4812106     2.73   0.006     .3698109    2.256127
                3 1 4  |  -1.703598   1.284746    -1.33   0.185    -4.221661    .8144649
                3 1 5  |  -1.419935   .8995644    -1.58   0.114    -3.183054    .3431835
                       |
                 _cons |   11.19511   .1545218    72.45   0.000     10.89225    11.49796
